"in English , very rare press kit , exclusive , 2018 , PS4Very rich content .",SEN:0,e18v-201-0,ORAL
media press kit numbered . The,SEN:1,e18v-201-1,ORAL
box is larger than that usually given for PlayStation press kits .,SEN:2,e18v-201-2,ORAL
"White , she wears the symbol of the spider - man",SEN:3,e18v-201-3,ORAL
"on a silver and textured background , like a canvas !",SEN:4,e18v-201-4,ORAL
"By opening it , we come across an amazing visual of Spider - Man ,",SEN:5,e18v-201-5,ORAL
"and on the content . First ,",SEN:6,e18v-201-6,ORAL
"there is a copy of the Daily Bugle , the famous New York newspaper where Peter Parker works .",SEN:7,e18v-201-7,ORAL
A true - to - life,SEN:8,e18v-201-8,LIT
"replica , full of cool little references to the Marvel / Spidey universe . Then",SEN:9,e18v-201-9,ORAL
"there are two numbered goodies : a lithograph as well as an artbook presented as a comic book , in its protective plastic bag , ideal for collectors .",SEN:10,e18v-201-10,ORAL
Mine was not opened . But,SEN:11,e18v-201-11,ORAL
"I know that the artbook inside offers a whole series of visuals of the game , really very nice . We",SEN:12,e18v-201-12,ORAL
"continue with a New York subway guide , which actually contains a small box with the code to download the game ( be careful , I downloaded the game , so it is in the box but not usable).There",SEN:13,e18v-201-13,ORAL
"is also in this Press Kit , a map of Manhattan , and a mysterious document that seems straight out of a secret - defense",SEN:14,e18v-201-14,ORAL
file . We,SEN:15,e18v-201-15,ORAL
end up with a coffee - shop,SEN:16,e18v-201-16,ORAL
coffee bean pocket quite in the mood of the game .,SEN:17,e18v-201-17,ORAL
"It' s filled with cool little goodies , like a page torn from a Peter Parker notebook with logo tests for his suit , and sketched prototypes of his flamethrowers .",SEN:18,e18v-201-18,ORAL
"There' s also a magnetic pin , a fabric patch , Peter Parker' s press card at the Daily Bugle , and a beautiful set of photos . En",SEN:19,e18v-201-19,ORAL
"anglais , dossier de presse très rare , exclusif , 2018 , PS4Contenu très riche .",SEN:20,e18v-201-20,ORAL
media press kit numéroté .,SEN:21,e18v-201-21,ORAL
La boite est plus grande que celle données habituellement pour les dossiers de presse PlayStation .,SEN:22,e18v-201-22,ORAL
"Blanche , elle arbore le symbole de l’ homme-araignée",SEN:23,e18v-201-23,ORAL
"sur un fond argenté et texturé , comme une toile !",SEN:24,e18v-201-24,ORAL
"En l’ ouvrant , on tombe sur un visuel incroyable de Spider - Man ,",SEN:25,e18v-201-25,ORAL
et sur le contenu . Tout,SEN:26,e18v-201-26,ORAL
"d’ abord , on trouve un exemplaire du Daily Bugle , le célèbre journal New-Yorkais",SEN:27,e18v-201-27,ORAL
où travaille Peter Parker .,SEN:28,e18v-201-28,ORAL
"Une réplique plus vraie que nature , truffée de petites références cool à l’ univers Marvel / Spidey . Ensuite ,",SEN:29,e18v-201-29,ORAL
"on trouve deux goodies numérotés : une lithographie ainsi qu’ un artbook présenté façon comics , dans sa pochette plastique de protection , idéal pour les collectionneurs .",SEN:30,e18v-201-30,ORAL
Le mien n' a pas été ouvert . Mais,SEN:31,e18v-201-31,ORAL
