Cet individu est un vantard .,SEN:0,testt_0-0,ORAL
"Si vous croyez ce qu' il raconte , il vous dira qu' il a d' excellents moyens de se procurer de l' argent , et cependant il est dans le plus entier dénuement !",SEN:0,testt_1-0,LIT
"Il y a quelque temps , en sortant du bureau du directeur : Le patron , nous dit -il ,",SEN:0,testt_2-0,LIT
"estun homme dur et impitoyable ; s' il ne rétracte pas rapidement les paroles qu' il vient de prononcer , je réclame ce qui m' est dûn et je m' en vais !",SEN:0,testt_3-0,LIT
Que vous a -t -il,SEN:0,testt_4-0,ORAL
donc raconté ?,SEN:0,testt_5-0,ORAL
Il m' a dit : « Je vous mets à la porte . »,SEN:0,testt_6-0,ORAL
I ' vanne c' mec -là !,SEN:0,testt_7-0,ORAL
"Si t' encaissesses salades , i ' te bonnira qu' i ' a des comnbinesde première pour affurer de l' artiche , total i ' marche à côté de ses lattes .",SEN:0,testt_8-0,LIT
"L' autre jour , i ' sorte du burlingue du boss .",SEN:0,testt_9-0,LIT
"Le singe , c' est une vache , i ' nous fait , s' i retire pas fissa c ' qu' i ' vient de bonnir , moij ' prendsmoncompteet j ' mets les bouts !",SEN:0,testt_10-0,LIT
Qu' est -ce,SEN:0,testt_11-0,ORAL
qu' i ' t' a donc dégoisé ?,SEN:0,testt_12-0,ORAL
"J ' te fos à la lourde , qu' i ' m' a dit !",SEN:0,testt_13-0,ORAL
A.,SEN:0,testt_14-0,ORAL
Ce sont deux pièces très agréables .,SEN:0,testt_15-0,ORAL
..,SEN:0,testt_16-0,ORAL
Pour recevoir c' est épatant .,SEN:0,testt_17-0,ORAL
Mais enﬁn on ne passe pas son temps à recevoir .,SEN:0,testt_18-0,LIT
Alors ...,SEN:0,testt_19-0,ORAL
qu' est -ce,SEN:0,testt_20-0,ORAL
que vous voulez ?,SEN:0,testt_21-0,ORAL
"Si je rentre le soir pour travailler , c' est impossible .",SEN:0,testt_22-0,LIT
Vous vous mettez à la petite table de la salle à manger .,SEN:0,testt_23-0,LIT
"Oui , je me mets à la table de la salle à manger .",SEN:0,testt_24-0,LIT
"Mais à ce moment -là ,",SEN:0,testt_25-0,ORAL
Martine fait son piano .,SEN:0,testt_26-0,ORAL
"Puis tout le monde entre , tout le monde sort .",SEN:0,testt_27-0,LIT
Ou bien il faut ...,SEN:0,testt_28-0,ORAL
II faut ...,SEN:0,testt_29-0,ORAL
On metle couvert ... On,SEN:0,testt_30-0,ORAL
fait ...,SEN:0,testt_31-0,ORAL
J' ai aucun ... aucun,SEN:0,testt_32-0,ORAL
coin pour travailler ... Après,SEN:0,testt_33-0,LIT
le diner .,SEN:0,testt_34-0,ORAL
Et encore maintenant que les enfants sont grands ...,SEN:0,testt_35-0,LIT
travaille ...,SEN:0,testt_36-0,ORAL
Je peux pas .. Quelquefois,SEN:0,testt_37-0,ORAL
ils n' ont pas toujours à travailler ... travaille,SEN:0,testt_38-0,LIT
à la couture ...,SEN:0,testt_39-0,ORAL
Elle travaille manuellement .,SEN:0,testt_40-0,ORAL
